index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,q_,z,Конус_Морзе,Исполнение,fi_,type_cutter_,mat_,type_of_cutting_part_,Группа,Тип_инструмента,Стандарт,D_1,f_доп._,D_доп.,P,l_номин._,d_,d_доп._,d_1_доп._,Направление,B,c_,c_доп._,h_,R,R_доп.,m_n0_,L_доп.,K,K_доп.,Точность,D_2,l_1_,f_откл._,g_,g_откл._,zxd_xD,z_0_,Серия,Точность_паза,m_0_,Подгруппа,h_доп._,m_,Метрический_хвостовик,b_,S,t_,d_0_,l_доп._,omega_,l_2_,r_,r_доп._,B_доп.,H,omega_u_,D_откл.,c_общего_назначения_,c_для_шпоночных_пазов_,Конус_метрический,alpha_
213,2220-0176,,3.5,,,8.0,28.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,3.5,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2220-0177,,3.5,,,8.0,28.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,3.5,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2220-0178,,3.5,,,8.0,28.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,3.5,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2220-0179,,4.0,,,10.0,32.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,4.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,2220-0181,,4.0,,,10.0,32.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,4.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2220-0182,,4.0,,,10.0,32.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,4.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2220-0183,,4.5,,,10.0,32.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,4.5,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2220-0184,,4.0,,,10.0,32.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,4.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2220-0185,,4.5,,,10.0,32.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,4.5,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2220-0186,,4.5,,,10.0,32.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,4.5,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2220-0187,,5.0,,,12.0,36.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,5.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2220-0188,,4.5,,,10.0,32.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,4.5,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2220-0189,,5.0,,,12.0,36.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,5.0,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2220-0191,,5.5,,,12.0,36.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,5.5,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2220-0192,,5.0,,,12.0,36.0,,,3.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,5.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2220-0193,,5.5,,,12.0,36.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,5.5,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2220-0194,,5.0,,,12.0,36.0,,,4.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,5.0,,,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2220-0195,,5.5,,,12.0,36.0,,,5.0,,,90.0,Концевая,1,1.0,Тип 1 ,Фреза,ГОСТ 18372-73,,,,,,5.5,,,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
