index,Обозначение,a_,D,l_,L,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,Направление,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,Тип_резца,h_1_,Группа_резца
105,2100-0480,,,,200.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,32.0,,,,,0.2,40.0,45.0,0.0,0.0,18.0,25.0,Токарный,,
106,2100-0481,,,,240.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,32.0,,,,,0.2,50.0,45.0,0.0,0.0,18.0,25.0,Токарный,,
107,2100-0482,,,,240.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,32.0,,,,,0.2,50.0,45.0,0.0,0.0,18.0,25.0,Токарный,,
108,2100-0483,,,,240.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,40.0,,,,,0.2,50.0,45.0,0.0,0.0,22.0,32.0,Токарный,,
109,2100-0484,,,,240.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,40.0,,,,,0.2,50.0,45.0,0.0,0.0,22.0,32.0,Токарный,,
110,2112-0031,,,,100.0,,90.0,0,Подрезной,Резец,ГОСТ 18871-73,,,Правый,10.0,,,4.0,,0.2,16.0,0.0,16.0,0.0,,10.0,Токарный,,
111,2112-0032,,,,100.0,,90.0,0,Подрезной,Резец,ГОСТ 18871-73,,,Левый,10.0,,,4.0,,0.2,16.0,0.0,16.0,0.0,,10.0,Токарный,,
112,2112-0033,,,,120.0,,90.0,0,Подрезной,Резец,ГОСТ 18871-73,,,Правый,12.0,,,5.0,,0.2,20.0,0.0,16.0,0.0,,12.0,Токарный,,
113,2112-0034,,,,120.0,,90.0,0,Подрезной,Резец,ГОСТ 18871-73,,,Левый,12.0,,,5.0,,0.2,20.0,0.0,16.0,0.0,,12.0,Токарный,,
114,2112-0035,,,,140.0,,90.0,0,Подрезной,Резец,ГОСТ 18871-73,,,Правый,16.0,,,6.0,,0.2,25.0,0.0,16.0,0.0,,16.0,Токарный,,
115,2112-0036,,,,140.0,,90.0,0,Подрезной,Резец,ГОСТ 18871-73,,,Левый,16.0,,,6.0,,0.2,25.0,0.0,16.0,0.0,,16.0,Токарный,,
116,2112-0037,,,,170.0,,90.0,0,Подрезной,Резец,ГОСТ 18871-73,,,Правый,20.0,,,8.0,,0.2,32.0,0.0,16.0,0.0,,20.0,Токарный,,
117,2112-0038,,,,170.0,,90.0,0,Подрезной,Резец,ГОСТ 18871-73,,,Левый,20.0,,,8.0,,0.2,32.0,0.0,16.0,0.0,,20.0,Токарный,,
118,2112-0039,,,,200.0,,90.0,0,Подрезной,Резец,ГОСТ 18871-73,,,Правый,25.0,,,10.0,,0.2,40.0,0.0,16.0,0.0,,25.0,Токарный,,
119,2112-0040,,,,200.0,,90.0,0,Подрезной,Резец,ГОСТ 18871-73,,,Левый,25.0,,,10.0,,0.2,40.0,0.0,16.0,0.0,,25.0,Токарный,,
120,2180-0801,,,35.0,250.0,,45.0,0,Тип 1,Резец,ГОСТ 10046-72,,,,12.0,,,11.0,,1.5,20.0,45.0,17.447188423282203,0.0,,16.0,Долбежный,,Двухсторонний
121,2180-0802,,,40.0,300.0,,45.0,0,Тип 1,Резец,ГОСТ 10046-72,,,,16.0,,,14.0,,1.5,25.0,45.0,19.29004621918873,0.0,,20.0,Долбежный,,Двухсторонний
122,2180-0803,,,45.0,350.0,,45.0,0,Тип 1,Резец,ГОСТ 10046-72,,,,20.0,,,17.0,,2.0,32.0,45.0,20.69545073406328,0.0,,23.0,Долбежный,,Двухсторонний
